시도,시군구,일사량,평균기온,최고기온,최저기온
강원특별자치도,강릉시,310.921683,-1.3,3.5795027,-6.1391676
강원특별자치도,강릉시,396.521964,2.3,7.5825447,-2.930656
강원특별자치도,강릉시,530.784249,7.1,12.9332201,1.3213206
강원특별자치도,강릉시,637.543542,14.4,20.7357645,7.998426
강원특별자치도,강릉시,663.278964,18.8,24.427301,13.1743636
강원특별자치도,강릉시,632.799081,23.0,27.484985,18.5871321
강원특별자치도,강릉시,560.942376,27.1,30.8570456,23.3877037
강원특별자치도,강릉시,534.617751,27.5,30.9198422,24.0738303
강원특별자치도,강릉시,472.899054,21.5,26.112516,16.9684908
강원특별자치도,강릉시,401.614359,15.1,20.0703947,10.1961574
강원특별자치도,강릉시,292.525557,8.0,12.8010663,3.2130386
강원특별자치도,강릉시,251.980074,2.1,7.0202956,-2.7848934
강원특별자치도,고성군,333.735378,1.1,7.6008024,-5.3664206
강원특별자치도,고성군,416.600253,4.5,11.6683713,-2.5991051
강원특별자치도,고성군,538.08159,10.0,17.5342153,2.3887999
강원특별자치도,고성군,633.773145,16.7,24.6597916,8.7429073
강원특별자치도,고성군,640.800687,21.4,28.7614126,14.1094536
강원특별자치도,고성군,557.427288,26.1,31.8002725,20.3411174
강원특별자치도,고성군,519.022602,29.6,34.628233,24.5211455
강원특별자치도,고성군,524.251983,30.3,35.3507862,25.3367299
강원특별자치도,고성군,472.554198,25.4,31.0732642,19.7934125
강원특별자치도,고성군,437.093019,18.0,24.7526886,11.3088424
강원특별자치도,고성군,336.357957,9.9,17.0145442,2.7827123
강원특별자치도,고성군,296.759544,4.0,10.8721978,-2.8421815
강원특별자치도,동해시,309.457728,-0.1,4.5187185,-4.6362591
강원특별자치도,동해시,390.081852,3.2,8.0028276,-1.6865541
강원특별자치도,동해시,526.180674,7.7,13.1136327,2.2943549
강원특별자치도,동해시,639.289482,14.3,20.1629378,8.4691308
강원특별자치도,동해시,665.877156,18.5,23.4697759,13.4350701
강원특별자치도,동해시,643.455363,22.7,26.5557791,18.8682647
강원특별자치도,동해시,570.939876,26.5,29.8472655,23.2347787
강원특별자치도,동해시,551.275812,27.5,30.5663235,24.4952665
강원특별자치도,동해시,474.282918,21.8,25.8155436,17.8105935
강원특별자치도,동해시,404.058735,15.9,20.3558994,11.4243145
강원특별자치도,동해시,297.526086,9.1,13.6139322,4.6038895
강원특별자치도,동해시,255.74853,3.5,8.0232667,-1.053672
강원특별자치도,양구군,306.871341,-4.6,1.3092382,-10.5550465
강원특별자치도,양구군,394.175106,0.4,6.683967,-5.9775825
강원특별자치도,양구군,523.679916,6.0,12.9351536,-1.0230183
강원특별자치도,양구군,620.439069,13.6,21.5314304,5.6469278
강원특별자치도,양구군,640.638369,18.2,25.1324306,11.2718627
강원특별자치도,양구군,599.406288,23.2,28.9530794,17.4330284
강원특별자치도,양구군,500.726271,26.6,31.1785493,21.9479897
강원특별자치도,양구군,495.190059,27.1,31.8113231,22.3311951
강원특별자치도,양구군,461.482731,21.4,26.9199875,15.8892605
강원특별자치도,양구군,392.802852,14.1,19.9233051,8.224251
강원특별자치도,양구군,277.538949,5.7,11.1627262,0.2252177
강원특별자치도,양구군,241.776243,-0.9,4.6146389,-6.351627
강원특별자치도,원주시,306.084708,-3.2,2.5122978,-8.9599116
강원특별자치도,원주시,384.726666,1.4,7.3315594,-4.5113961
강원특별자치도,원주시,518.015745,6.9,13.7538227,0.0935825
강원특별자치도,원주시,627.086595,14.0,21.5024185,6.5165901
강원특별자치도,원주시,641.51037,18.5,24.6864453,12.3839251
강원특별자치도,원주시,612.854274,23.8,28.6738839,18.910635
강원특별자치도,원주시,480.70503,26.6,30.6365984,22.4990387
강원특별자치도,원주시,512.313738,27.8,31.9579399,23.6215442
강원특별자치도,원주시,470.097237,22.0,27.1709495,16.8492387
강원특별자치도,원주시,407.234007,14.8,20.5551355,9.0467557
강원특별자치도,원주시,288.041874,6.8,12.4106502,1.1613751
강원특별자치도,원주시,249.615417,0.5,5.7536883,-4.830404
강원특별자치도,정선군,315.450708,-5.6,0.5969639,-11.7512471
강원특별자치도,정선군,395.513508,-1.1,4.9727955,-7.2146861
강원특별자치도,정선군,526.752909,4.4,11.3297788,-2.4801296
강원특별자치도,정선군,634.407768,12.0,19.5430122,4.4194915
강원특별자치도,정선군,653.690853,16.5,22.7979344,10.1251363
강원특별자치도,정선군,627.969531,21.4,26.5008288,16.3683396
강원특별자치도,정선군,517.828569,24.5,28.6865464,20.3577622
강원특별자치도,정선군,527.370594,25.5,29.6313081,21.292185
강원특별자치도,정선군,470.499216,19.3,24.5224895,14.1596899
강원특별자치도,정선군,407.527974,12.4,18.2649413,6.533958
강원특별자치도,정선군,295.734882,4.7,10.3689981,-0.9805022
강원특별자치도,정선군,258.589332,-1.5,4.007267,-7.023485
강원특별자치도,태백시,322.546302,-7.8,-0.4988576,-15.2007644
강원특별자치도,태백시,399.795135,-2.9,4.2251219,-10.0398702
강원특별자치도,태백시,527.096832,3.3,11.4239555,-4.9096609
강원특별자치도,태백시,634.307253,11.5,20.3145254,2.7098877
강원특별자치도,태백시,655.115241,16.3,23.5393536,8.9779971
강원특별자치도,태백시,630.676803,21.6,27.5422629,15.6906252
강원특별자치도,태백시,520.799751,24.5,29.4870385,19.58246
